Geographic Area Name,year,Estimate!!Total,Spanish,French (incl. Cajun),Haitian,Italian,Portuguese,German,"Yiddish, Pennsylvania Dutch or other West Germanic languages",Greek,Russian,Polish,Serbo-Croatian,Ukrainian or other Slavic languages,Armenian,"Persian (incl. Farsi, Dari)",Gujarati,Hindi,Urdu,Punjabi,Bengali,"Nepali, Marathi, or other Indic languages",Other Indo-European languages,Telugu,Tamil,"Malayalam, Kannada, or other Dravidian languages","Chinese (incl. Mandarin, Cantonese)",Japanese,Korean,Hmong,Vietnamese,Khmer,"Thai, Lao, or other Tai-Kadai languages",Other languages of Asia,Tagalog (incl. Filipino),"Ilocano, Samoan, Hawaiian, or other Austronesian languages",Arabic,Hebrew,"Amharic, Somali, or other Afro-Asiatic languages","Yoruba, Twi, Igbo, or other languages of Western Africa","Swahili or other languages of Central, Eastern, and Southern Africa",Navajo,Other Native languages of North America,Other and unspecified languages,Estimate!!Total:
New Mexico,2016,1948900.0,545986,5118,108,1614,1110,7159,877,647,1588,484,290,283,99,1479,363,958,434,205,433,435,1242,664,160,141,4550,1455,1533,56,4024,109,1172,619,3314,453,3384,551,231,384,491,62431,33344,545,
New York,2016,18526734.0,2785081,134786,158313,171133,42542,58797,158211,63675,223577,87778,31270,38909,7443,26109,20098,60525,74319,36702,114031,29928,83691,9109,10088,27221,565187,35117,103229,173,23397,4577,11233,50134,75578,10986,94364,66085,12107,87369,10329,159,3988,33600,
North Carolina,2016,9334868.0,690417,26969,3982,6993,6860,21704,3572,5738,10738,3641,3619,3761,304,4060,11427,16304,6077,1868,2644,10936,7648,9336,6852,4065,33874,6085,14761,9832,23959,3591,6795,10145,14564,5813,20745,1460,7475,9688,6267,111,1639,4186,
North Dakota,2016,684743.0,11040,1471,119,256,418,7109,326,58,652,300,1378,575,0,63,89,616,45,44,155,1590,1760,178,54,19,1374,287,253,7,524,32,119,395,1132,164,691,49,1267,556,1512,79,1278,220,
Ohio,2016,10891177.0,240366,24690,1921,14529,3548,47901,46234,9129,16821,7837,10950,14282,413,4144,9237,16943,4784,3879,3012,14916,14932,8165,6518,3545,44400,9163,11394,526,12167,5069,5237,7118,9893,2968,40957,2438,19588,15741,6408,170,1125,9518,
Oklahoma,2016,3609771.0,245483,5095,631,1035,1279,8804,1201,659,1940,688,323,494,89,2341,980,1690,1996,226,1209,1439,1717,1116,928,2586,9673,1889,4422,3047,17368,351,2265,3441,3708,3473,5315,575,719,2225,1842,341,15334,674,
Oregon,2016,3750266.0,334636,10987,612,2193,3135,14439,2951,919,21392,1247,1556,7452,341,3952,787,6200,1145,1123,919,3980,9627,2159,1607,1452,28975,10031,10115,1600,24132,3535,4481,5542,9626,9086,8613,1256,6046,1206,1853,387,1980,2175,
Pennsylvania,2016,12069379.0,563727,37425,18592,39731,13395,45578,69439,13579,36957,20094,7337,18091,1780,5128,18878,23381,10736,4806,9528,17295,20630,11362,6715,12836,83429,6435,29158,835,37344,11169,4050,9834,15617,5058,35016,6653,5208,14050,6310,62,1018,8141,
Rhode Island,2016,999724.0,116296,9382,7523,6721,31606,1604,199,1672,2026,2034,212,432,800,230,668,1662,830,50,473,983,1338,402,427,318,6789,922,1149,466,1884,3901,2577,795,1647,228,3376,362,210,3087,368,0,175,656,
South Carolina,2016,4543106.0,200761,10678,1039,2553,3989,11395,1328,2069,4941,1485,951,3514,53,766,4552,2994,1312,577,519,1129,2825,1072,1078,682,10088,2512,4679,1576,5892,1409,2098,1648,7148,1199,5061,731,976,1432,1008,10,600,2031,
South Dakota,2016,790964.0,16125,846,22,260,158,5460,304,69,573,54,911,782,23,40,53,247,140,56,58,1103,695,152,49,64,1772,230,468,48,669,146,479,2055,1009,231,732,27,1904,336,1425,151,10800,341,
Tennessee,2016,6145849.0,241296,11782,2143,2389,2176,12778,4000,832,4086,1335,1425,1571,337,3403,5122,5527,2696,288,1641,5413,7527,3831,1354,2245,12965,4218,8736,410,9667,1467,7305,2487,6884,1910,21176,770,5428,5205,3747,43,827,1686,
Texas,2016,24985749.0,7373797,69212,7410,12588,24403,63553,9426,6833,22653,8880,7374,10230,1829,29319,29733,69674,71893,8665,18722,36242,19978,39041,24300,35715,159186,17481,56688,963,205861,10935,21363,24778,80227,18666,68142,6717,27364,54681,26174,1541,2480,8937,
Utah,2016,2694463.0,267820,7294,367,2190,7997,8214,2019,984,4090,822,2931,969,665,1746,229,1425,719,704,572,3269,3752,1002,1238,438,13373,4795,4721,84,6895,1646,3194,2846,4522,12029,4258,220,2249,762,1124,7365,2525,1082,
Vermont,2016,595890.0,6175,8508,102,826,262,2382,574,232,843,701,1290,216,94,154,91,215,159,83,115,1657,883,39,36,21,1531,368,500,0,912,18,370,590,550,99,835,106,758,144,210,0,127,364,
Virginia,2016,7800044.0,530447,32079,6250,8728,9182,27620,4351,6296,16534,3540,5170,5624,1019,29334,9930,25649,30803,8867,12386,15578,14435,19630,9988,5370,57342,9596,54623,336,50602,6323,9877,11963,46101,5645,50409,1589,32890,21401,5905,80,782,7112,
Washington,2016,6626003.0,556129,23014,1085,5456,5466,29182,4457,2634,58173,4412,5075,28353,1332,8432,3420,23140,4762,14850,2382,8599,21361,8687,8944,3960,93020,25703,47892,1796,60017,17171,12357,8977,57353,29764,15947,2832,31893,5235,6180,369,3497,6032,
West Virginia,2016,1744184.0,18164,2389,280,1285,215,2777,294,454,564,491,73,265,11,683,316,522,484,28,210,615,374,400,253,248,2899,813,637,22,1049,0,391,285,1507,186,1957,103,313,443,133,28,158,336,
Wisconsin,2016,5414479.0,248533,10288,340,3849,1771,32715,10980,1734,5168,6182,5036,2706,444,1089,1351,5907,3084,2150,1066,2720,8123,3313,2501,1480,16253,2389,4785,46243,4163,760,3686,3526,5055,1149,7822,855,2083,2684,1132,42,3845,1834,
Wyoming,2016,545062.0,27245,1159,62,395,248,2005,130,133,420,43,52,210,0,198,28,30,54,92,98,195,259,23,108,4,776,285,412,37,271,29,156,71,684,562,368,18,82,186,221,173,1964,169,
Puerto Rico,2016,3345832.0,3155521,1186,14,661,560,438,48,38,45,15,11,0,0,37,0,43,0,0,0,16,94,0,0,0,1206,101,26,0,151,0,0,8,77,30,483,64,0,0,13,0,6,261,
Alabama,2017,4558608.0,146478,6840,1020,1141,1206,7841,1013,765,1833,583,277,715,132,873,2440,2518,1237,196,1121,1847,1183,1836,597,272,10517,1893,8739,20,7342,626,2770,798,3466,1169,6459,364,416,1798,1768,75,692,1509,
Alaska,2017,684298.0,23226,2034,207,282,230,3257,339,280,5289,446,307,887,14,56,138,217,142,51,385,490,1103,37,46,29,1389,1333,3972,3394,1071,194,3019,658,16726,5631,420,83,549,588,368,95,29921,651,
Arizona,2017,6375189.0,1308293,16502,796,6425,3562,20884,2992,2183,7680,5928,6685,3840,1198,6064,3942,11436,2304,2687,2461,5151,11053,6151,5238,3376,31733,7013,9852,104,23423,1824,4441,4073,24419,6803,24275,2540,9283,3856,6124,82691,27074,4228,
Arkansas,2017,2787800.0,146666,2890,166,683,678,4757,908,202,878,509,274,451,86,585,1006,1892,1038,228,562,790,1137,1383,949,573,5538,1021,1654,1263,4536,271,3828,646,2578,5752,2942,77,409,525,569,0,515,474,
California,2017,36489302.0,10486447,126686,8085,57613,80097,101075,27951,22702,160254,19677,19426,35719,189940,201067,47693,183471,53900,138203,26287,51668,70045,57481,54077,31742,1180602,143412,367658,74666,547165,75341,83242,60281,795154,124525,178553,42771,65696,26391,15054,1510,5935,31752,
Colorado,2017,5102269.0,603303,16585,874,5049,3564,24263,2993,2096,15290,4407,2574,5046,687,5182,1511,6792,1685,1347,1000,6472,7056,3909,3183,1768,23941,6342,14780,3317,20197,2142,4808,6235,8025,4745,10762,2112,13030,6000,3458,2506,1741,3860,
Connecticut,2017,3408290.0,398297,24115,18132,29979,35769,9649,2058,8475,9623,33862,4920,5706,635,1869,7518,13012,6513,1454,5201,4899,15639,6099,5723,2671,29471,3680,6709,84,7630,2425,3237,4285,8724,849,11374,2543,1303,6858,1795,0,206,9218,
Delaware,2017,888450.0,60881,2690,3054,1728,561,2172,1373,852,1175,789,232,570,18,560,2304,2274,1310,332,846,905,660,2410,2054,845,7582,343,1550,23,1206,316,359,996,2628,376,1749,86,198,2882,2344,27,31,871,
District of Columbia,2017,628784.0,56512,9076,801,1841,1815,2671,536,619,2135,528,569,604,218,1272,354,1256,536,155,467,719,1728,159,97,279,5209,937,1350,0,1019,161,173,620,1825,442,2172,579,6532,2403,704,19,97,889,
Florida,2017,19173085.0,4078350,105435,403839,46939,102147,62533,16875,20677,42469,22476,15598,17576,2325,10610,19967,25756,18266,3340,10179,10308,33654,11691,7015,12571,72433,11833,19924,1185,59824,5333,16978,14815,63991,8999,54386,21725,3962,8626,3804,76,1963,32978,
Georgia,2017,9544207.0,763901,38085,15469,4600,13757,23218,5542,2933,13648,2616,6052,5521,269,9318,24167,30319,13469,1979,7302,13761,12964,14735,10175,6375,47036,8828,46266,2807,47037,4203,8211,8587,12700,5210,18768,3299,21061,29481,11043,94,969,7755,
Hawaii,2017,1330241.0,27328,3434,162,1029,1630,3174,231,135,1338,537,209,612,94,403,64,695,23,40,83,497,836,255,175,59,33285,45415,18910,40,10604,376,3717,336,58455,123177,660,493,180,306,194,63,137,4372,
