state,year,total_pop,languageRank1,numSpeakers1,languageRank2,numSpeakers2,languageRank3,numSpeakers3,languageRank4,numSpeakers4,languageRank5,numSpeakers5
New Hampshire,2016,1262827,Spanish,26424,French (incl. Cajun),21260,"Chinese (incl. Mandarin, Cantonese)",5662,German,3705,Portuguese,3229
New Jersey,2016,8386947,Spanish,1335729,"Chinese (incl. Mandarin, Cantonese)",116434,Tagalog (incl. Filipino),79664,Korean,78100,Portuguese,77118
New Mexico,2016,1948900,Spanish,545986,Navajo,62431,Other Native languages of North America,33344,German,7159,French (incl. Cajun),5118
New York,2016,18526734,Spanish,2785081,"Chinese (incl. Mandarin, Cantonese)",565187,Russian,223577,Italian,171133,Haitian,158313
North Carolina,2016,9334868,Spanish,690417,"Chinese (incl. Mandarin, Cantonese)",33874,French (incl. Cajun),26969,Vietnamese,23959,German,21704
North Dakota,2016,684743,Spanish,11040,German,7109,Other Indo-European languages,1760,"Nepali, Marathi, or other Indic languages",1590,"Swahili or other languages of Central, Eastern, and Southern Africa",1512
Ohio,2016,10891177,Spanish,240366,German,47901,"Yiddish, Pennsylvania Dutch or other West Germanic languages",46234,"Chinese (incl. Mandarin, Cantonese)",44400,Arabic,40957
Oklahoma,2016,3609771,Spanish,245483,Vietnamese,17368,Other Native languages of North America,15334,"Chinese (incl. Mandarin, Cantonese)",9673,German,8804
Oregon,2016,3750266,Spanish,334636,"Chinese (incl. Mandarin, Cantonese)",28975,Vietnamese,24132,Russian,21392,German,14439
Pennsylvania,2016,12069379,Spanish,563727,"Chinese (incl. Mandarin, Cantonese)",83429,"Yiddish, Pennsylvania Dutch or other West Germanic languages",69439,German,45578,Italian,39731
Rhode Island,2016,999724,Spanish,116296,Portuguese,31606,French (incl. Cajun),9382,Haitian,7523,"Chinese (incl. Mandarin, Cantonese)",6789
South Carolina,2016,4543106,Spanish,200761,German,11395,French (incl. Cajun),10678,"Chinese (incl. Mandarin, Cantonese)",10088,Tagalog (incl. Filipino),7148
South Dakota,2016,790964,Spanish,16125,Other Native languages of North America,10800,German,5460,Other languages of Asia,2055,"Amharic, Somali, or other Afro-Asiatic languages",1904
Tennessee,2016,6145849,Spanish,241296,Arabic,21176,"Chinese (incl. Mandarin, Cantonese)",12965,German,12778,French (incl. Cajun),11782
Texas,2016,24985749,Spanish,7373797,Vietnamese,205861,"Chinese (incl. Mandarin, Cantonese)",159186,Tagalog (incl. Filipino),80227,Urdu,71893
Utah,2016,2694463,Spanish,267820,"Chinese (incl. Mandarin, Cantonese)",13373,"Ilocano, Samoan, Hawaiian, or other Austronesian languages",12029,German,8214,Portuguese,7997
Vermont,2016,595890,French (incl. Cajun),8508,Spanish,6175,German,2382,"Nepali, Marathi, or other Indic languages",1657,"Chinese (incl. Mandarin, Cantonese)",1531
Virginia,2016,7800044,Spanish,530447,"Chinese (incl. Mandarin, Cantonese)",57342,Korean,54623,Vietnamese,50602,Arabic,50409
Washington,2016,6626003,Spanish,556129,"Chinese (incl. Mandarin, Cantonese)",93020,Vietnamese,60017,Russian,58173,Tagalog (incl. Filipino),57353
West Virginia,2016,1744184,Spanish,18164,"Chinese (incl. Mandarin, Cantonese)",2899,German,2777,French (incl. Cajun),2389,Arabic,1957
Wisconsin,2016,5414479,Spanish,248533,Hmong,46243,German,32715,"Chinese (incl. Mandarin, Cantonese)",16253,"Yiddish, Pennsylvania Dutch or other West Germanic languages",10980
Wyoming,2016,545062,Spanish,27245,German,2005,Other Native languages of North America,1964,French (incl. Cajun),1159,"Chinese (incl. Mandarin, Cantonese)",776
