state,year,total_pop,languageRank1,numSpeakers1,languageRank2,numSpeakers2,languageRank3,numSpeakers3,languageRank4,numSpeakers4,languageRank5,numSpeakers5
Kentucky,2019,4174460,Spanish,114553,German,13487,Arabic,8449,French (incl. Cajun),7581,"Chinese (incl. Mandarin, Cantonese)",7197
Louisiana,2019,4356927,Spanish,163720,French (incl. Cajun),84940,Vietnamese,28292,Arabic,10148,"Chinese (incl. Mandarin, Cantonese)",9350
Maine,2019,1271457,French (incl. Cajun),34473,Spanish,11504,"Chinese (incl. Mandarin, Cantonese)",3262,German,2735,"Amharic, Somali, or other Afro-Asiatic languages",2627
Maryland,2019,5653980,Spanish,471743,"Chinese (incl. Mandarin, Cantonese)",70166,French (incl. Cajun),54224,"Yoruba, Twi, Igbo, or other languages of Western Africa",52795,Korean,36940
Massachusetts,2019,6489537,Spanish,592436,Portuguese,194006,"Chinese (incl. Mandarin, Cantonese)",135121,Haitian,86271,French (incl. Cajun),53403
Michigan,2019,9394171,Spanish,280327,Arabic,145135,"Chinese (incl. Mandarin, Cantonese)",50313,Other Indo-European languages,33748,German,32441
Minnesota,2019,5211714,Spanish,205634,"Amharic, Somali, or other Afro-Asiatic languages",83546,Hmong,64057,"Chinese (incl. Mandarin, Cantonese)",23773,Vietnamese,22940
Mississippi,2019,2797771,Spanish,67792,Vietnamese,6599,Other Native languages of North America,3914,French (incl. Cajun),3876,"Chinese (incl. Mandarin, Cantonese)",3754
Missouri,2019,5733340,Spanish,151938,"Chinese (incl. Mandarin, Cantonese)",23480,German,20180,Vietnamese,13786,Arabic,13648
Montana,2019,989614,Spanish,14903,Other Native languages of North America,6981,German,6257,French (incl. Cajun),1955,Tagalog (incl. Filipino),1182
Nebraska,2019,1783098,Spanish,133473,Vietnamese,6528,Other languages of Asia,6278,Arabic,5774,"Chinese (incl. Mandarin, Cantonese)",5209
Nevada,2019,2788848,Spanish,591714,Tagalog (incl. Filipino),80467,"Chinese (incl. Mandarin, Cantonese)",31292,"Amharic, Somali, or other Afro-Asiatic languages",12653,Korean,10754
New Hampshire,2019,1284281,Spanish,30292,French (incl. Cajun),18153,"Chinese (incl. Mandarin, Cantonese)",5703,"Nepali, Marathi, or other Indic languages",4154,Portuguese,3987
New Jersey,2019,8358979,Spanish,1371956,"Chinese (incl. Mandarin, Cantonese)",119447,Portuguese,79236,Gujarati,78583,Hindi,78454
New Mexico,2019,1966304,Spanish,523639,Navajo,64953,Other Native languages of North America,32751,"Chinese (incl. Mandarin, Cantonese)",5135,German,5124
New York,2019,18418118,Spanish,2758925,"Chinese (incl. Mandarin, Cantonese)",587279,Russian,218526,"Yiddish, Pennsylvania Dutch or other West Germanic languages",169669,Italian,149710
North Carolina,2019,9659751,Spanish,735619,"Chinese (incl. Mandarin, Cantonese)",37438,French (incl. Cajun),28268,Arabic,23302,Vietnamese,23104
North Dakota,2019,703502,Spanish,12945,German,5621,"Amharic, Somali, or other Afro-Asiatic languages",2154,"Nepali, Marathi, or other Indic languages",2101,French (incl. Cajun),2012
Ohio,2019,10960686,Spanish,256003,"Yiddish, Pennsylvania Dutch or other West Germanic languages",54186,"Chinese (incl. Mandarin, Cantonese)",46420,Arabic,44168,German,44046
Oklahoma,2019,3671554,Spanish,266711,Vietnamese,18298,Other Native languages of North America,13797,"Chinese (incl. Mandarin, Cantonese)",9925,German,7618
Oregon,2019,3899246,Spanish,354093,"Chinese (incl. Mandarin, Cantonese)",32665,Vietnamese,26571,Russian,21251,German,14789
Pennsylvania,2019,12084967,Spanish,603300,"Chinese (incl. Mandarin, Cantonese)",89253,"Yiddish, Pennsylvania Dutch or other West Germanic languages",75174,German,42963,Russian,39527
Rhode Island,2019,1002559,Spanish,123414,Portuguese,29268,French (incl. Cajun),9406,Haitian,8894,"Chinese (incl. Mandarin, Cantonese)",7014
South Carolina,2019,4729875,Spanish,215524,German,13129,"Chinese (incl. Mandarin, Cantonese)",12400,French (incl. Cajun),11039,Tagalog (incl. Filipino),8250
South Dakota,2019,810239,Spanish,16458,Other Native languages of North America,9970,German,5164,"Amharic, Somali, or other Afro-Asiatic languages",2372,"Swahili or other languages of Central, Eastern, and Southern Africa",2031
Tennessee,2019,6302918,Spanish,261658,Arabic,23909,"Chinese (incl. Mandarin, Cantonese)",15770,German,11851,French (incl. Cajun),10717
Texas,2019,26261053,Spanish,7690703,Vietnamese,221068,"Chinese (incl. Mandarin, Cantonese)",175654,Arabic,92138,Hindi,87604
Utah,2019,2845963,Spanish,296951,"Chinese (incl. Mandarin, Cantonese)",15761,"Ilocano, Samoan, Hawaiian, or other Austronesian languages",12297,Portuguese,12099,German,8522
Vermont,2019,594745,French (incl. Cajun),8385,Spanish,6771,"Chinese (incl. Mandarin, Cantonese)",2439,German,2303,"Nepali, Marathi, or other Indic languages",1929
Virginia,2019,7946064,Spanish,581242,"Chinese (incl. Mandarin, Cantonese)",62068,Korean,55284,Arabic,54022,Vietnamese,50611
Washington,2019,6949743,Spanish,597020,"Chinese (incl. Mandarin, Cantonese)",115095,Vietnamese,63568,Tagalog (incl. Filipino),61927,Russian,57090
West Virginia,2019,1719765,Spanish,18195,"Chinese (incl. Mandarin, Cantonese)",2879,Arabic,2584,French (incl. Cajun),2538,German,2534
Wisconsin,2019,5457532,Spanish,253716,Hmong,42775,German,29187,"Chinese (incl. Mandarin, Cantonese)",16688,"Yiddish, Pennsylvania Dutch or other West Germanic languages",10916
Wyoming,2019,544483,Spanish,27394,Other Native languages of North America,2230,German,2053,French (incl. Cajun),1131,"Chinese (incl. Mandarin, Cantonese)",908
Puerto Rico,2019,3174824,Spanish,2994452,"Chinese (incl. Mandarin, Cantonese)",1265,French (incl. Cajun),1131,Italian,655,Portuguese,442
Alabama,2020,4599254,Spanish,152727,"Chinese (incl. Mandarin, Cantonese)",10460,Korean,8920,German,8203,Vietnamese,7250
Alaska,2020,684688,Other Native languages of North America,27667,Spanish,23785,Tagalog (incl. Filipino),18419,"Ilocano, Samoan, Hawaiian, or other Austronesian languages",6029,Russian,4502
Arizona,2020,6742840,Spanish,1358980,Navajo,84467,"Chinese (incl. Mandarin, Cantonese)",35526,Other Native languages of North America,28909,Tagalog (incl. Filipino),26831
Arkansas,2020,2823428,Spanish,153429,"Ilocano, Samoan, Hawaiian, or other Austronesian languages",7792,"Thai, Lao, or other Tai-Kadai languages",5072,Vietnamese,4842,"Chinese (incl. Mandarin, Cantonese)",4822
California,2020,36936941,Spanish,10462968,"Chinese (incl. Mandarin, Cantonese)",1254601,Tagalog (incl. Filipino),786864,Vietnamese,564809,Korean,360451
Colorado,2020,5353987,Spanish,602273,"Chinese (incl. Mandarin, Cantonese)",24224,German,22635,Vietnamese,20909,French (incl. Cajun),18965
Connecticut,2020,3387841,Spanish,403019,Portuguese,35604,Polish,29528,"Chinese (incl. Mandarin, Cantonese)",28340,Italian,26305
Delaware,2020,912905,Spanish,64832,"Chinese (incl. Mandarin, Cantonese)",8643,Haitian,4740,French (incl. Cajun),3257,"Yoruba, Twi, Igbo, or other languages of Western Africa",2852
District of Columbia,2020,657061,Spanish,59522,French (incl. Cajun),8372,"Amharic, Somali, or other Afro-Asiatic languages",6185,"Chinese (incl. Mandarin, Cantonese)",5649,German,2465
Florida,2020,20083534,Spanish,4376716,Haitian,420986,Portuguese,134199,French (incl. Cajun),105110,"Chinese (incl. Mandarin, Cantonese)",77968
Georgia,2020,9864494,Spanish,781103,Vietnamese,52832,"Chinese (incl. Mandarin, Cantonese)",51251,Korean,47879,French (incl. Cajun),36896
Hawaii,2020,1331895,"Ilocano, Samoan, Hawaiian, or other Austronesian languages",125108,Tagalog (incl. Filipino),57292,Japanese,40764,"Chinese (incl. Mandarin, Cantonese)",31910,Spanish,29327
Idaho,2020,1640035,Spanish,131145,"Chinese (incl. Mandarin, Cantonese)",4927,German,4053,Arabic,3159,French (incl. Cajun),3135
Illinois,2020,11960646,Spanish,1596614,Polish,170377,"Chinese (incl. Mandarin, Cantonese)",105801,Tagalog (incl. Filipino),78836,Arabic,69756
Indiana,2020,6278766,Spanish,290345,"Yiddish, Pennsylvania Dutch or other West Germanic languages",30437,German,30330,"Chinese (incl. Mandarin, Cantonese)",26718,Other languages of Asia,20759
Iowa,2020,2954549,Spanish,121749,"Chinese (incl. Mandarin, Cantonese)",11330,German,10009,Arabic,9952,Vietnamese,9162
Kansas,2020,2723766,Spanish,207181,Vietnamese,13161,"Chinese (incl. Mandarin, Cantonese)",11214,German,10202,Arabic,6273
Kentucky,2020,4188377,Spanish,113336,German,12914,French (incl. Cajun),9006,Arabic,8534,"Chinese (incl. Mandarin, Cantonese)",7942
Louisiana,2020,4359716,Spanish,161117,French (incl. Cajun),76909,Vietnamese,24960,Arabic,10789,"Chinese (incl. Mandarin, Cantonese)",10233
Maine,2020,1276837,French (incl. Cajun),33632,Spanish,11811,"Chinese (incl. Mandarin, Cantonese)",3304,German,2890,"Amharic, Somali, or other Afro-Asiatic languages",2399
Maryland,2020,5674006,Spanish,470919,"Chinese (incl. Mandarin, Cantonese)",70599,French (incl. Cajun),56579,"Yoruba, Twi, Igbo, or other languages of Western Africa",54301,Korean,37839
Massachusetts,2020,6514973,Spanish,593684,Portuguese,191943,"Chinese (incl. Mandarin, Cantonese)",140002,Haitian,89506,French (incl. Cajun),51400
Michigan,2020,9405581,Spanish,272275,Arabic,147867,"Chinese (incl. Mandarin, Cantonese)",47988,Other Indo-European languages,35193,German,32254
Minnesota,2020,5249062,Spanish,203634,"Amharic, Somali, or other Afro-Asiatic languages",85630,Hmong,67265,"Chinese (incl. Mandarin, Cantonese)",24128,Vietnamese,20874
Mississippi,2020,2796561,Spanish,67565,Vietnamese,5983,"Chinese (incl. Mandarin, Cantonese)",4122,Other Native languages of North America,4069,French (incl. Cajun),3969
Missouri,2020,5753114,Spanish,149698,"Chinese (incl. Mandarin, Cantonese)",23747,German,19321,Vietnamese,14631,Serbo-Croatian,13979
Montana,2020,1000367,Spanish,14172,Other Native languages of North America,6676,German,5695,French (incl. Cajun),1763,Tagalog (incl. Filipino),1317
Nebraska,2020,1793084,Spanish,137352,Vietnamese,6870,Other languages of Asia,6641,"Chinese (incl. Mandarin, Cantonese)",5653,Arabic,5611
Nevada,2020,2846140,Spanish,593610,Tagalog (incl. Filipino),83372,"Chinese (incl. Mandarin, Cantonese)",31295,"Amharic, Somali, or other Afro-Asiatic languages",13698,Korean,10799
New Hampshire,2020,1291567,Spanish,30856,French (incl. Cajun),17619,"Chinese (incl. Mandarin, Cantonese)",5793,Portuguese,4937,"Nepali, Marathi, or other Indic languages",4187
New Jersey,2020,8367069,Spanish,1368165,"Chinese (incl. Mandarin, Cantonese)",119892,Portuguese,84801,Gujarati,80552,Hindi,79659
New Mexico,2020,1974028,Spanish,514071,Navajo,63783,Other Native languages of North America,32954,German,6123,"Chinese (incl. Mandarin, Cantonese)",5201
New York,2020,18374180,Spanish,2702957,"Chinese (incl. Mandarin, Cantonese)",584577,Russian,223297,"Yiddish, Pennsylvania Dutch or other West Germanic languages",179324,Haitian,145635
North Carolina,2020,9780928,Spanish,736886,"Chinese (incl. Mandarin, Cantonese)",37320,French (incl. Cajun),29939,Arabic,28183,Vietnamese,24305
North Dakota,2020,706986,Spanish,13295,German,4953,"Amharic, Somali, or other Afro-Asiatic languages",2256,French (incl. Cajun),2087,"Nepali, Marathi, or other Indic languages",1913
Ohio,2020,10982292,Spanish,252994,"Yiddish, Pennsylvania Dutch or other West Germanic languages",53608,"Chinese (incl. Mandarin, Cantonese)",47588,Arabic,44730,German,43517
Oklahoma,2020,3690339,Spanish,269433,Vietnamese,17684,Other Native languages of North America,13883,"Chinese (incl. Mandarin, Cantonese)",9675,German,7973
Oregon,2020,3948032,Spanish,349549,"Chinese (incl. Mandarin, Cantonese)",31144,Vietnamese,27023,Russian,22044,German,14417
Pennsylvania,2020,12092654,Spanish,615972,"Chinese (incl. Mandarin, Cantonese)",91052,"Yiddish, Pennsylvania Dutch or other West Germanic languages",72960,Russian,40408,German,39564
Rhode Island,2020,1003110,Spanish,123763,Portuguese,28559,French (incl. Cajun),9545,Haitian,9097,"Chinese (incl. Mandarin, Cantonese)",6640
South Carolina,2020,4799866,Spanish,221714,German,12601,"Chinese (incl. Mandarin, Cantonese)",11894,French (incl. Cajun),10970,Tagalog (incl. Filipino),8536
South Dakota,2020,819317,Spanish,17587,Other Native languages of North America,9475,German,5128,"Amharic, Somali, or other Afro-Asiatic languages",2668,"Swahili or other languages of Central, Eastern, and Southern Africa",2619
Tennessee,2020,6365282,Spanish,264534,Arabic,26921,"Chinese (incl. Mandarin, Cantonese)",15351,German,10776,French (incl. Cajun),10625
Texas,2020,26638435,Spanish,7666020,Vietnamese,230667,"Chinese (incl. Mandarin, Cantonese)",178422,Arabic,102491,Tagalog (incl. Filipino),87088
Utah,2020,2902637,Spanish,297926,"Chinese (incl. Mandarin, Cantonese)",16328,"Ilocano, Samoan, Hawaiian, or other Austronesian languages",13034,Portuguese,12483,German,8760
Vermont,2020,595302,French (incl. Cajun),8338,Spanish,6810,German,2053,"Chinese (incl. Mandarin, Cantonese)",1976,"Nepali, Marathi, or other Indic languages",1839
Virginia,2020,8001236,Spanish,580417,"Chinese (incl. Mandarin, Cantonese)",60084,Korean,58741,Arabic,55999,Vietnamese,48699
Washington,2020,7057853,Spanish,602058,"Chinese (incl. Mandarin, Cantonese)",118426,Vietnamese,62742,Tagalog (incl. Filipino),61621,Russian,59132
West Virginia,2020,1711734,Spanish,17467,Arabic,2808,"Chinese (incl. Mandarin, Cantonese)",2692,French (incl. Cajun),2367,German,2147
Wisconsin,2020,5475909,Spanish,254258,Hmong,40771,German,27160,"Chinese (incl. Mandarin, Cantonese)",16754,"Yiddish, Pennsylvania Dutch or other West Germanic languages",10707
Wyoming,2020,545912,Spanish,25717,German,1980,Other Native languages of North America,1975,"Chinese (incl. Mandarin, Cantonese)",1103,French (incl. Cajun),1072
Puerto Rico,2020,3124678,Spanish,2952046,"Chinese (incl. Mandarin, Cantonese)",1275,French (incl. Cajun),1067,Italian,586,Arabic,444
Alabama,2021,4702043,Spanish,156752,Korean,10578,"Chinese (incl. Mandarin, Cantonese)",10450,German,8607,Vietnamese,8563
Alaska,2021,685160,Other Native languages of North America,27126,Spanish,23629,Tagalog (incl. Filipino),18273,"Ilocano, Samoan, Hawaiian, or other Austronesian languages",5873,Hmong,4097
Arizona,2021,6666597,Spanish,1342767,Navajo,80932,"Chinese (incl. Mandarin, Cantonese)",33976,Other Native languages of North America,26780,Tagalog (incl. Filipino),25839
Arkansas,2021,2821729,Spanish,155476,"Ilocano, Samoan, Hawaiian, or other Austronesian languages",8009,"Thai, Lao, or other Tai-Kadai languages",5366,"Chinese (incl. Mandarin, Cantonese)",5345,Vietnamese,4701
California,2021,37105018,Spanish,10514821,"Chinese (incl. Mandarin, Cantonese)",1259668,Tagalog (incl. Filipino),780024,Vietnamese,556398,Korean,358018
Colorado,2021,5398930,Spanish,600603,"Chinese (incl. Mandarin, Cantonese)",23735,German,22837,Vietnamese,21143,French (incl. Cajun),18560
Connecticut,2021,3423208,Spanish,413847,Portuguese,38158,"Chinese (incl. Mandarin, Cantonese)",30624,Polish,30111,Italian,25308
Delaware,2021,927658,Spanish,66429,"Chinese (incl. Mandarin, Cantonese)",8408,Haitian,5023,French (incl. Cajun),3340,Hindi,3245
District of Columbia,2021,640196,Spanish,57933,French (incl. Cajun),7779,"Amharic, Somali, or other Afro-Asiatic languages",6319,"Chinese (incl. Mandarin, Cantonese)",5607,Arabic,2414
Florida,2021,20220968,Spanish,4469836,Haitian,426024,Portuguese,140484,French (incl. Cajun),103031,"Chinese (incl. Mandarin, Cantonese)",75622
Georgia,2021,9981897,Spanish,801066,Vietnamese,54826,"Chinese (incl. Mandarin, Cantonese)",51344,Korean,49681,"Yoruba, Twi, Igbo, or other languages of Western Africa",37433
Hawaii,2021,1365731,"Ilocano, Samoan, Hawaiian, or other Austronesian languages",125233,Tagalog (incl. Filipino),60019,Japanese,38466,"Chinese (incl. Mandarin, Cantonese)",32984,Spanish,31421
Idaho,2021,1696648,Spanish,136997,"Chinese (incl. Mandarin, Cantonese)",4485,German,4127,French (incl. Cajun),3057,Arabic,2895
Illinois,2021,12076132,Spanish,1627789,Polish,174381,"Chinese (incl. Mandarin, Cantonese)",105919,Tagalog (incl. Filipino),81532,Arabic,71345
Indiana,2021,6335798,Spanish,295350,"Yiddish, Pennsylvania Dutch or other West Germanic languages",32465,German,30629,"Chinese (incl. Mandarin, Cantonese)",25529,Other languages of Asia,23964
Iowa,2021,2984520,Spanish,125611,Arabic,10909,"Chinese (incl. Mandarin, Cantonese)",9701,German,9299,Vietnamese,9083
Kansas,2021,2746823,Spanish,212194,Vietnamese,12767,"Chinese (incl. Mandarin, Cantonese)",11963,German,9437,Arabic,6657
Kentucky,2021,4223282,Spanish,115833,German,12806,French (incl. Cajun),9757,"Yiddish, Pennsylvania Dutch or other West Germanic languages",8919,"Chinese (incl. Mandarin, Cantonese)",8562
Louisiana,2021,4359946,Spanish,161887,French (incl. Cajun),71661,Vietnamese,24697,Arabic,11609,"Chinese (incl. Mandarin, Cantonese)",9339
Maine,2021,1293114,French (incl. Cajun),33580,Spanish,11920,"Chinese (incl. Mandarin, Cantonese)",3102,"Amharic, Somali, or other Afro-Asiatic languages",2952,German,2814
Maryland,2021,5785079,Spanish,494447,"Chinese (incl. Mandarin, Cantonese)",72246,French (incl. Cajun),58642,"Yoruba, Twi, Igbo, or other languages of Western Africa",58466,Korean,37565
Massachusetts,2021,6633909,Spanish,623189,Portuguese,205246,"Chinese (incl. Mandarin, Cantonese)",142362,Haitian,89391,French (incl. Cajun),50412
Michigan,2021,9497695,Spanish,274889,Arabic,161272,"Chinese (incl. Mandarin, Cantonese)",46745,Other Indo-European languages,36372,"Amharic, Somali, or other Afro-Asiatic languages",31878
Minnesota,2021,5322004,Spanish,207272,"Amharic, Somali, or other Afro-Asiatic languages",89605,Hmong,71410,"Chinese (incl. Mandarin, Cantonese)",23805,Vietnamese,21167
Mississippi,2021,2784877,Spanish,66351,Vietnamese,6118,"Chinese (incl. Mandarin, Cantonese)",4025,Other Native languages of North America,3839,French (incl. Cajun),3771
Missouri,2021,5774402,Spanish,150367,"Chinese (incl. Mandarin, Cantonese)",22344,German,18596,Serbo-Croatian,13872,Vietnamese,13298
Montana,2021,1017612,Spanish,14545,Other Native languages of North America,6403,German,5298,French (incl. Cajun),1880,Tagalog (incl. Filipino),1426
Nebraska,2021,1821080,Spanish,140884,Vietnamese,6533,Other languages of Asia,6508,Arabic,5639,"Chinese (incl. Mandarin, Cantonese)",5362
Nevada,2021,2877809,Spanish,591262,Tagalog (incl. Filipino),84525,"Chinese (incl. Mandarin, Cantonese)",32559,"Amharic, Somali, or other Afro-Asiatic languages",13068,Vietnamese,11113
New Hampshire,2021,1308666,Spanish,32455,French (incl. Cajun),16958,"Chinese (incl. Mandarin, Cantonese)",5531,Portuguese,5167,"Nepali, Marathi, or other Indic languages",4004
New Jersey,2021,8703648,Spanish,1440046,"Chinese (incl. Mandarin, Cantonese)",124963,Portuguese,90904,Hindi,86262,Gujarati,83973
New Mexico,2021,1988650,Spanish,510402,Navajo,64628,Other Native languages of North America,32574,German,5334,Tagalog (incl. Filipino),5294
New York,2021,18960369,Spanish,2801677,"Chinese (incl. Mandarin, Cantonese)",600113,Russian,240514,"Yiddish, Pennsylvania Dutch or other West Germanic languages",198855,Haitian,147135
North Carolina,2021,9773018,Spanish,753142,"Chinese (incl. Mandarin, Cantonese)",38388,French (incl. Cajun),30994,Arabic,29554,Vietnamese,24497
North Dakota,2021,719927,Spanish,13876,German,4925,Other Native languages of North America,2119,"Amharic, Somali, or other Afro-Asiatic languages",2086,French (incl. Cajun),2039
Ohio,2021,11080797,Spanish,259563,"Yiddish, Pennsylvania Dutch or other West Germanic languages",58988,"Chinese (incl. Mandarin, Cantonese)",49135,Arabic,44632,German,41370
Oklahoma,2021,3695207,Spanish,274323,Vietnamese,16752,Other Native languages of North America,13190,"Chinese (incl. Mandarin, Cantonese)",9806,German,8559
Oregon,2021,3983562,Spanish,353257,"Chinese (incl. Mandarin, Cantonese)",30809,Vietnamese,27353,Russian,22754,German,14304
Pennsylvania,2021,12269858,Spanish,636809,"Chinese (incl. Mandarin, Cantonese)",92810,"Yiddish, Pennsylvania Dutch or other West Germanic languages",74733,Russian,45142,Arabic,38496
Rhode Island,2021,1036579,Spanish,131450,Portuguese,28440,French (incl. Cajun),9582,Haitian,9409,"Chinese (incl. Mandarin, Cantonese)",7300
South Carolina,2021,4793431,Spanish,226398,German,13279,"Chinese (incl. Mandarin, Cantonese)",11240,French (incl. Cajun),10448,Vietnamese,8401
South Dakota,2021,822247,Spanish,17785,Other Native languages of North America,8674,German,4912,"Amharic, Somali, or other Afro-Asiatic languages",2708,"Swahili or other languages of Central, Eastern, and Southern Africa",2547
Tennessee,2021,6453630,Spanish,271483,Arabic,29622,"Chinese (incl. Mandarin, Cantonese)",15930,German,11653,French (incl. Cajun),10710
Texas,2021,26903358,Spanish,7717053,Vietnamese,229759,"Chinese (incl. Mandarin, Cantonese)",179035,Arabic,108323,Hindi,86267
Utah,2021,2985731,Spanish,310259,"Chinese (incl. Mandarin, Cantonese)",15312,Portuguese,14013,"Ilocano, Samoan, Hawaiian, or other Austronesian languages",13177,German,8943
Vermont,2021,612469,French (incl. Cajun),8356,Spanish,7122,"Nepali, Marathi, or other Indic languages",2029,German,1965,"Chinese (incl. Mandarin, Cantonese)",1779
Virginia,2021,8080985,Spanish,595248,"Chinese (incl. Mandarin, Cantonese)",59039,Korean,57781,Arabic,57191,Vietnamese,49316
Washington,2021,7167821,Spanish,620206,"Chinese (incl. Mandarin, Cantonese)",123749,Vietnamese,67154,Tagalog (incl. Filipino),63151,Russian,61502
West Virginia,2021,1707826,Spanish,17109,Arabic,3255,French (incl. Cajun),2225,German,2151,"Chinese (incl. Mandarin, Cantonese)",2064
Wisconsin,2021,5542337,Spanish,256965,Hmong,39223,German,27487,"Chinese (incl. Mandarin, Cantonese)",16497,"Yiddish, Pennsylvania Dutch or other West Germanic languages",10897
Wyoming,2021,542379,Spanish,25145,German,1921,Other Native languages of North America,1736,French (incl. Cajun),1155,"Chinese (incl. Mandarin, Cantonese)",1079
Puerto Rico,2021,3188859,Spanish,3019785,"Chinese (incl. Mandarin, Cantonese)",1326,French (incl. Cajun),1193,Portuguese,507,Italian,504
