"Column Name","Label"
"B16001_077E","Estimate!!Total!!Chinese (incl. Mandarin, Cantonese)!!Speak English less than "very well""
"B16001_077M","Margin of Error!!Total!!Chinese (incl. Mandarin, Cantonese)!!Speak English less than "very well""
"B16001_078E","Estimate!!Total!!Japanese"
"B16001_078M","Margin of Error!!Total!!Japanese"
"B16001_079E","Estimate!!Total!!Japanese!!Speak English "very well""
"B16001_079M","Margin of Error!!Total!!Japanese!!Speak English "very well""
"B16001_080E","Estimate!!Total!!Japanese!!Speak English less than "very well""
"B16001_080M","Margin of Error!!Total!!Japanese!!Speak English less than "very well""
"B16001_081E","Estimate!!Total!!Korean"
"B16001_081M","Margin of Error!!Total!!Korean"
"B16001_082E","Estimate!!Total!!Korean!!Speak English "very well""
"B16001_082M","Margin of Error!!Total!!Korean!!Speak English "very well""
"B16001_083E","Estimate!!Total!!Korean!!Speak English less than "very well""
"B16001_083M","Margin of Error!!Total!!Korean!!Speak English less than "very well""
"B16001_084E","Estimate!!Total!!Hmong"
"B16001_084M","Margin of Error!!Total!!Hmong"
"B16001_085E","Estimate!!Total!!Hmong!!Speak English "very well""
"B16001_085M","Margin of Error!!Total!!Hmong!!Speak English "very well""
"B16001_086E","Estimate!!Total!!Hmong!!Speak English less than "very well""
"B16001_086M","Margin of Error!!Total!!Hmong!!Speak English less than "very well""
"B16001_087E","Estimate!!Total!!Vietnamese"
"B16001_087M","Margin of Error!!Total!!Vietnamese"
"B16001_088E","Estimate!!Total!!Vietnamese!!Speak English "very well""
"B16001_088M","Margin of Error!!Total!!Vietnamese!!Speak English "very well""
"B16001_089E","Estimate!!Total!!Vietnamese!!Speak English less than "very well""
"B16001_089M","Margin of Error!!Total!!Vietnamese!!Speak English less than "very well""
"B16001_090E","Estimate!!Total!!Khmer"
"B16001_090M","Margin of Error!!Total!!Khmer"
"B16001_091E","Estimate!!Total!!Khmer!!Speak English "very well""
"B16001_091M","Margin of Error!!Total!!Khmer!!Speak English "very well""
"B16001_092E","Estimate!!Total!!Khmer!!Speak English less than "very well""
"B16001_092M","Margin of Error!!Total!!Khmer!!Speak English less than "very well""
"B16001_093E","Estimate!!Total!!Thai, Lao, or other Tai-Kadai languages"
"B16001_093M","Margin of Error!!Total!!Thai, Lao, or other Tai-Kadai languages"
"B16001_094E","Estimate!!Total!!Thai, Lao, or other Tai-Kadai languages!!Speak English "very well""
"B16001_094M","Margin of Error!!Total!!Thai, Lao, or other Tai-Kadai languages!!Speak English "very well""
"B16001_095E","Estimate!!Total!!Thai, Lao, or other Tai-Kadai languages!!Speak English less than "very well""
"B16001_095M","Margin of Error!!Total!!Thai, Lao, or other Tai-Kadai languages!!Speak English less than "very well""
"B16001_096E","Estimate!!Total!!Other languages of Asia"
"B16001_096M","Margin of Error!!Total!!Other languages of Asia"
"B16001_097E","Estimate!!Total!!Other languages of Asia!!Speak English "very well""
"B16001_097M","Margin of Error!!Total!!Other languages of Asia!!Speak English "very well""
"B16001_098E","Estimate!!Total!!Other languages of Asia!!Speak English less than "very well""
"B16001_098M","Margin of Error!!Total!!Other languages of Asia!!Speak English less than "very well""
"B16001_099E","Estimate!!Total!!Tagalog (incl. Filipino)"
"B16001_099M","Margin of Error!!Total!!Tagalog (incl. Filipino)"
"B16001_100E","Estimate!!Total!!Tagalog (incl. Filipino)!!Speak English "very well""
"B16001_100M","Margin of Error!!Total!!Tagalog (incl. Filipino)!!Speak English "very well""
"B16001_101E","Estimate!!Total!!Tagalog (incl. Filipino)!!Speak English less than "very well""
"B16001_101M","Margin of Error!!Total!!Tagalog (incl. Filipino)!!Speak English less than "very well""
"B16001_102E","Estimate!!Total!!Ilocano, Samoan, Hawaiian, or other Austronesian languages"
"B16001_102M","Margin of Error!!Total!!Ilocano, Samoan, Hawaiian, or other Austronesian languages"
"B16001_103E","Estimate!!Total!!Ilocano, Samoan, Hawaiian, or other Austronesian languages!!Speak English "very well""
"B16001_103M","Margin of Error!!Total!!Ilocano, Samoan, Hawaiian, or other Austronesian languages!!Speak English "very well""
"B16001_104E","Estimate!!Total!!Ilocano, Samoan, Hawaiian, or other Austronesian languages!!Speak English less than "very well""
"B16001_104M","Margin of Error!!Total!!Ilocano, Samoan, Hawaiian, or other Austronesian languages!!Speak English less than "very well""
"B16001_105E","Estimate!!Total!!Arabic"
"B16001_105M","Margin of Error!!Total!!Arabic"
"B16001_106E","Estimate!!Total!!Arabic!!Speak English "very well""
"B16001_106M","Margin of Error!!Total!!Arabic!!Speak English "very well""
"B16001_107E","Estimate!!Total!!Arabic!!Speak English less than "very well""
"B16001_107M","Margin of Error!!Total!!Arabic!!Speak English less than "very well""
"B16001_108E","Estimate!!Total!!Hebrew"
"B16001_108M","Margin of Error!!Total!!Hebrew"
"B16001_109E","Estimate!!Total!!Hebrew!!Speak English "very well""
"B16001_109M","Margin of Error!!Total!!Hebrew!!Speak English "very well""
"B16001_110E","Estimate!!Total!!Hebrew!!Speak English less than "very well""
"B16001_110M","Margin of Error!!Total!!Hebrew!!Speak English less than "very well""
