"Column Name","Label"
"B16001_031M","Margin of Error!!Total!!Greek!!Speak English "very well""
"B16001_032E","Estimate!!Total!!Greek!!Speak English less than "very well""
"B16001_032M","Margin of Error!!Total!!Greek!!Speak English less than "very well""
"B16001_033E","Estimate!!Total!!Russian"
"B16001_033M","Margin of Error!!Total!!Russian"
"B16001_034E","Estimate!!Total!!Russian!!Speak English "very well""
"B16001_034M","Margin of Error!!Total!!Russian!!Speak English "very well""
"B16001_035E","Estimate!!Total!!Russian!!Speak English less than "very well""
"B16001_035M","Margin of Error!!Total!!Russian!!Speak English less than "very well""
"B16001_036E","Estimate!!Total!!Polish"
"B16001_036M","Margin of Error!!Total!!Polish"
"B16001_037E","Estimate!!Total!!Polish!!Speak English "very well""
"B16001_037M","Margin of Error!!Total!!Polish!!Speak English "very well""
"B16001_038E","Estimate!!Total!!Polish!!Speak English less than "very well""
"B16001_038M","Margin of Error!!Total!!Polish!!Speak English less than "very well""
"B16001_039E","Estimate!!Total!!Serbo-Croatian"
"B16001_039M","Margin of Error!!Total!!Serbo-Croatian"
"B16001_040E","Estimate!!Total!!Serbo-Croatian!!Speak English "very well""
"B16001_040M","Margin of Error!!Total!!Serbo-Croatian!!Speak English "very well""
"B16001_041E","Estimate!!Total!!Serbo-Croatian!!Speak English less than "very well""
"B16001_041M","Margin of Error!!Total!!Serbo-Croatian!!Speak English less than "very well""
"B16001_042E","Estimate!!Total!!Other Slavic languages"
"B16001_042M","Margin of Error!!Total!!Other Slavic languages"
"B16001_043E","Estimate!!Total!!Other Slavic languages!!Speak English "very well""
"B16001_043M","Margin of Error!!Total!!Other Slavic languages!!Speak English "very well""
"B16001_044E","Estimate!!Total!!Other Slavic languages!!Speak English less than "very well""
"B16001_044M","Margin of Error!!Total!!Other Slavic languages!!Speak English less than "very well""
"B16001_045E","Estimate!!Total!!Armenian"
"B16001_045M","Margin of Error!!Total!!Armenian"
"B16001_046E","Estimate!!Total!!Armenian!!Speak English "very well""
"B16001_046M","Margin of Error!!Total!!Armenian!!Speak English "very well""
"B16001_047E","Estimate!!Total!!Armenian!!Speak English less than "very well""
"B16001_047M","Margin of Error!!Total!!Armenian!!Speak English less than "very well""
"B16001_048E","Estimate!!Total!!Persian"
"B16001_048M","Margin of Error!!Total!!Persian"
"B16001_049E","Estimate!!Total!!Persian!!Speak English "very well""
"B16001_049M","Margin of Error!!Total!!Persian!!Speak English "very well""
"B16001_050E","Estimate!!Total!!Persian!!Speak English less than "very well""
"B16001_050M","Margin of Error!!Total!!Persian!!Speak English less than "very well""
"B16001_051E","Estimate!!Total!!Gujarati"
"B16001_051M","Margin of Error!!Total!!Gujarati"
"B16001_052E","Estimate!!Total!!Gujarati!!Speak English "very well""
"B16001_052M","Margin of Error!!Total!!Gujarati!!Speak English "very well""
"B16001_053E","Estimate!!Total!!Gujarati!!Speak English less than "very well""
"B16001_053M","Margin of Error!!Total!!Gujarati!!Speak English less than "very well""
"B16001_054E","Estimate!!Total!!Hindi"
"B16001_054M","Margin of Error!!Total!!Hindi"
"B16001_055E","Estimate!!Total!!Hindi!!Speak English "very well""
"B16001_055M","Margin of Error!!Total!!Hindi!!Speak English "very well""
"B16001_056E","Estimate!!Total!!Hindi!!Speak English less than "very well""
"B16001_056M","Margin of Error!!Total!!Hindi!!Speak English less than "very well""
"B16001_057E","Estimate!!Total!!Urdu"
"B16001_057M","Margin of Error!!Total!!Urdu"
"B16001_058E","Estimate!!Total!!Urdu!!Speak English "very well""
"B16001_058M","Margin of Error!!Total!!Urdu!!Speak English "very well""
"B16001_059E","Estimate!!Total!!Urdu!!Speak English less than "very well""
"B16001_059M","Margin of Error!!Total!!Urdu!!Speak English less than "very well""
"B16001_060E","Estimate!!Total!!Other Indic languages"
"B16001_060M","Margin of Error!!Total!!Other Indic languages"
"B16001_061E","Estimate!!Total!!Other Indic languages!!Speak English "very well""
"B16001_061M","Margin of Error!!Total!!Other Indic languages!!Speak English "very well""
"B16001_062E","Estimate!!Total!!Other Indic languages!!Speak English less than "very well""
"B16001_062M","Margin of Error!!Total!!Other Indic languages!!Speak English less than "very well""
"B16001_063E","Estimate!!Total!!Other Indo-European languages"
"B16001_063M","Margin of Error!!Total!!Other Indo-European languages"
"B16001_064E","Estimate!!Total!!Other Indo-European languages!!Speak English "very well""
"B16001_064M","Margin of Error!!Total!!Other Indo-European languages!!Speak English "very well""
"B16001_065E","Estimate!!Total!!Other Indo-European languages!!Speak English less than "very well""
"B16001_065M","Margin of Error!!Total!!Other Indo-European languages!!Speak English less than "very well""
"B16001_066E","Estimate!!Total!!Chinese"
"B16001_066M","Margin of Error!!Total!!Chinese"
"B16001_067E","Estimate!!Total!!Chinese!!Speak English "very well""
"B16001_067M","Margin of Error!!Total!!Chinese!!Speak English "very well""
"B16001_068E","Estimate!!Total!!Chinese!!Speak English less than "very well""
"B16001_068M","Margin of Error!!Total!!Chinese!!Speak English less than "very well""
"B16001_069E","Estimate!!Total!!Japanese"
"B16001_069M","Margin of Error!!Total!!Japanese"
"B16001_070E","Estimate!!Total!!Japanese!!Speak English "very well""
"B16001_070M","Margin of Error!!Total!!Japanese!!Speak English "very well""
"B16001_071E","Estimate!!Total!!Japanese!!Speak English less than "very well""
"B16001_071M","Margin of Error!!Total!!Japanese!!Speak English less than "very well""
"B16001_072E","Estimate!!Total!!Korean"
"B16001_072M","Margin of Error!!Total!!Korean"
"B16001_073E","Estimate!!Total!!Korean!!Speak English "very well""
"B16001_073M","Margin of Error!!Total!!Korean!!Speak English "very well""
"B16001_074E","Estimate!!Total!!Korean!!Speak English less than "very well""
"B16001_074M","Margin of Error!!Total!!Korean!!Speak English less than "very well""
"B16001_075E","Estimate!!Total!!Mon-Khmer, Cambodian"
"B16001_075M","Margin of Error!!Total!!Mon-Khmer, Cambodian"
"B16001_076E","Estimate!!Total!!Mon-Khmer, Cambodian!!Speak English "very well""
"B16001_076M","Margin of Error!!Total!!Mon-Khmer, Cambodian!!Speak English "very well""
"B16001_077E","Estimate!!Total!!Mon-Khmer, Cambodian!!Speak English less than "very well""
"B16001_077M","Margin of Error!!Total!!Mon-Khmer, Cambodian!!Speak English less than "very well""
"B16001_078E","Estimate!!Total!!Hmong"
"B16001_078M","Margin of Error!!Total!!Hmong"
"B16001_079E","Estimate!!Total!!Hmong!!Speak English "very well""
"B16001_079M","Margin of Error!!Total!!Hmong!!Speak English "very well""
"B16001_080E","Estimate!!Total!!Hmong!!Speak English less than "very well""
"B16001_080M","Margin of Error!!Total!!Hmong!!Speak English less than "very well""
"B16001_081E","Estimate!!Total!!Thai"
"B16001_081M","Margin of Error!!Total!!Thai"
"B16001_082E","Estimate!!Total!!Thai!!Speak English "very well""
"B16001_082M","Margin of Error!!Total!!Thai!!Speak English "very well""
"B16001_083E","Estimate!!Total!!Thai!!Speak English less than "very well""
"B16001_083M","Margin of Error!!Total!!Thai!!Speak English less than "very well""
"B16001_084E","Estimate!!Total!!Laotian"
"B16001_084M","Margin of Error!!Total!!Laotian"
"B16001_085E","Estimate!!Total!!Laotian!!Speak English "very well""
"B16001_085M","Margin of Error!!Total!!Laotian!!Speak English "very well""
"B16001_086E","Estimate!!Total!!Laotian!!Speak English less than "very well""
"B16001_086M","Margin of Error!!Total!!Laotian!!Speak English less than "very well""
"B16001_087E","Estimate!!Total!!Vietnamese"
"B16001_087M","Margin of Error!!Total!!Vietnamese"
"B16001_088E","Estimate!!Total!!Vietnamese!!Speak English "very well""
"B16001_088M","Margin of Error!!Total!!Vietnamese!!Speak English "very well""
"B16001_089E","Estimate!!Total!!Vietnamese!!Speak English less than "very well""
"B16001_089M","Margin of Error!!Total!!Vietnamese!!Speak English less than "very well""
"B16001_090E","Estimate!!Total!!Other Asian languages"
"B16001_090M","Margin of Error!!Total!!Other Asian languages"
"B16001_091E","Estimate!!Total!!Other Asian languages!!Speak English "very well""
"B16001_091M","Margin of Error!!Total!!Other Asian languages!!Speak English "very well""
"B16001_092E","Estimate!!Total!!Other Asian languages!!Speak English less than "very well""
"B16001_092M","Margin of Error!!Total!!Other Asian languages!!Speak English less than "very well""
"B16001_093E","Estimate!!Total!!Tagalog"
"B16001_093M","Margin of Error!!Total!!Tagalog"
"B16001_094E","Estimate!!Total!!Tagalog!!Speak English "very well""
"B16001_094M","Margin of Error!!Total!!Tagalog!!Speak English "very well""
"B16001_095E","Estimate!!Total!!Tagalog!!Speak English less than "very well""
"B16001_095M","Margin of Error!!Total!!Tagalog!!Speak English less than "very well""
"B16001_096E","Estimate!!Total!!Other Pacific Island languages"
"B16001_096M","Margin of Error!!Total!!Other Pacific Island languages"
"B16001_097E","Estimate!!Total!!Other Pacific Island languages!!Speak English "very well""
"B16001_097M","Margin of Error!!Total!!Other Pacific Island languages!!Speak English "very well""
"B16001_098E","Estimate!!Total!!Other Pacific Island languages!!Speak English less than "very well""
"B16001_098M","Margin of Error!!Total!!Other Pacific Island languages!!Speak English less than "very well""
"B16001_099E","Estimate!!Total!!Navajo"
"B16001_099M","Margin of Error!!Total!!Navajo"
"B16001_100E","Estimate!!Total!!Navajo!!Speak English "very well""
"B16001_100M","Margin of Error!!Total!!Navajo!!Speak English "very well""
"B16001_101E","Estimate!!Total!!Navajo!!Speak English less than "very well""
"B16001_101M","Margin of Error!!Total!!Navajo!!Speak English less than "very well""
"B16001_102E","Estimate!!Total!!Other Native North American languages"
"B16001_102M","Margin of Error!!Total!!Other Native North American languages"
"B16001_103E","Estimate!!Total!!Other Native North American languages!!Speak English "very well""
"B16001_103M","Margin of Error!!Total!!Other Native North American languages!!Speak English "very well""
"B16001_104E","Estimate!!Total!!Other Native North American languages!!Speak English less than "very well""
"B16001_104M","Margin of Error!!Total!!Other Native North American languages!!Speak English less than "very well""
"B16001_105E","Estimate!!Total!!Hungarian"
"B16001_105M","Margin of Error!!Total!!Hungarian"
"B16001_106E","Estimate!!Total!!Hungarian!!Speak English "very well""
"B16001_106M","Margin of Error!!Total!!Hungarian!!Speak English "very well""
"B16001_107E","Estimate!!Total!!Hungarian!!Speak English less than "very well""
"B16001_107M","Margin of Error!!Total!!Hungarian!!Speak English less than "very well""
"B16001_108E","Estimate!!Total!!Arabic"
"B16001_108M","Margin of Error!!Total!!Arabic"
"B16001_109E","Estimate!!Total!!Arabic!!Speak English "very well""
"B16001_109M","Margin of Error!!Total!!Arabic!!Speak English "very well""
"B16001_110E","Estimate!!Total!!Arabic!!Speak English less than "very well""
"B16001_110M","Margin of Error!!Total!!Arabic!!Speak English less than "very well""
"B16001_111E","Estimate!!Total!!Hebrew"
"B16001_111M","Margin of Error!!Total!!Hebrew"
"B16001_112E","Estimate!!Total!!Hebrew!!Speak English "very well""
"B16001_112M","Margin of Error!!Total!!Hebrew!!Speak English "very well""
"B16001_113E","Estimate!!Total!!Hebrew!!Speak English less than "very well""
"B16001_113M","Margin of Error!!Total!!Hebrew!!Speak English less than "very well""
"B16001_114E","Estimate!!Total!!African languages"
"B16001_114M","Margin of Error!!Total!!African languages"
"B16001_115E","Estimate!!Total!!African languages!!Speak English "very well""
"B16001_115M","Margin of Error!!Total!!African languages!!Speak English "very well""
"B16001_116E","Estimate!!Total!!African languages!!Speak English less than "very well""
"B16001_116M","Margin of Error!!Total!!African languages!!Speak English less than "very well""
"B16001_117E","Estimate!!Total!!Other and unspecified languages"
"B16001_117M","Margin of Error!!Total!!Other and unspecified languages"
"B16001_118E","Estimate!!Total!!Other and unspecified languages!!Speak English "very well""
"B16001_118M","Margin of Error!!Total!!Other and unspecified languages!!Speak English "very well""
"B16001_119E","Estimate!!Total!!Other and unspecified languages!!Speak English less than "very well""
"B16001_119M","Margin of Error!!Total!!Other and unspecified languages!!Speak English less than "very well""
